hostname,ip,timestamp,cpu,memory,Disk_C:,os,Open Ports Count,Hardening_firewall,Hardening_defender,Hardening_smb_v1_disabled,Hardening_rdp_disabled,Hardening_uac_enabled,Hardening_password_policy,Hardening_auto_updates,Hardening_DefSig_antivirus_version,Hardening_DefSig_antispyware_version,Hardening_DefSig_last_updated,Hardening_DefSig_status,usb_storage_status,status,agent_version,Manufacturer,Model,Serial Number,Processor,Device Type,Installed Software Count,Latest Patch Installed,Patch Installed On,total_ram_gb,free_ram_mb,ram_modules_count,current_user,logged_user,MAC_0_adapter,MAC_0_mac_address,MAC_1_adapter,MAC_1_mac_address,MAC_2_adapter,MAC_2_mac_address,primary_mac,last_seen,compliance_status,health_status
Actin-CS-91,192.168.8.105,2026-03-18T17:58:00.464153,,,20.88,Microsoft Windows 11 Pro (Build 26200),15,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.597.0,1.445.597.0,18-03-2026 01:56:57,PASS,enabled,online,1.0.41,LENOVO,21SG,PG054BEN,Intel(R) Core(TM) 5 210H,Laptop,56,KB5079473,12 March 2026 00:00:00,15.55,6304.12,1,AzureAD\MayurJoshi,AzureAD\MayurJoshi,Wi-Fi 2,24-B2-B9-98-1F-53,,,,,24-B2-B9-98-1F-53,2026-03-18T17:58:13.865733,COMPLIANT,Good
Actin-CS-85,192.168.5.105,2026-03-24T11:51:56.694000,100,91.09,65.21,Microsoft Windows 11 Pro (Build 26200),31,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,24-03-2026 04:59:39,PASS,disabled,online,1.0.77,LENOVO,21KG,PG04TE2A,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,189,KB5083532,11 March 2026 00:00:00,15.53,2182.63,2,NT AUTHORITY\SYSTEM,AzureAD\SaadSayyed,VMware Network Adapter VMnet1,00-50-56-C0-00-01,vEthernet (WSL (Hyper-V firewall)),00-15-5D-E8-30-27,Wi-Fi,5C-B4-7E-39-02-97,00-50-56-C0-00-01,2026-03-24T11:52:20.858797,COMPLIANT,Critical
secsrv01,192.168.6.50,2026-03-24T12:01:27.425614,11.21,89.29,14.23,Microsoft Windows Server 2022 Datacenter (Build 20348),25,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,1.445.722.0,1.445.722.0,23-03-2026 16:39:09,PASS,enabled,online,1.0.43,HP,ProLiant DL380 Gen9,SGH724SKSR,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,Desktop,17,KB5075905,05 March 2026 00:00:00,63.87,6990.32,2,SECSRV01\Prasad.Velankar,,Embedded LOM 1 Port 2,30-E1-71-6A-2E-6D,Embedded LOM 1 Port 1,30-E1-71-6A-2E-6C,,,30-E1-71-6A-2E-6D,2026-03-24T12:01:38.734672,COMPLIANT,Critical
Actin-CS-54,192.168.8.50,2026-03-20T10:49:36.449062,,,57.42,Microsoft Windows 11 Pro (Build 26200),21,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENZE,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,160,KB5079473,18 March 2026 00:00:00,15.53,2608.11,2,AzureAD\RajashriShirude,AzureAD\RajashriShirude,Wi-Fi,B0-47-E9-5D-02-28,,,,,B0-47-E9-5D-02-28,2026-03-20T10:49:46.224209,COMPLIANT,Good
Actin-CS-44,192.168.5.131,2026-03-24T11:58:28.316874,21,70.41,88.78,Microsoft Windows 11 Pro (Build 26200),26,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENTL,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,68,KB5083532,"Monday, March 23, 2026 12:00:00 AM",15.53,4693.89,2,NT AUTHORITY\SYSTEM,AzureAD\SandeshParbhankar,Wi-Fi,10-91-D1-4F-11-3B,,,,,10-91-D1-4F-11-3B,2026-03-24T11:58:42.467548,COMPLIANT,Warning
Actin-CS-33,192.168.8.52,2026-03-24T12:15:39.276039,13,74.25,44.76,Microsoft Windows 11 Pro (Build 26200),13,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.728.0,1.445.728.0,24-03-2026 01:24:03,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENYW,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,72,KB5079473,23 March 2026 00:00:00,15.53,4076.68,2,NT AUTHORITY\SYSTEM,AzureAD\SanikaBhanage,Ethernet 3,02-50-41-00-00-01,Wi-Fi,B0-47-E9-5C-FF-CB,,,02-50-41-00-00-01,2026-03-24T12:16:06.547883,COMPLIANT,Warning
Actin-CS-108,192.168.68.51,2026-03-10T14:16:26.554474,,,25.4,Microsoft Windows 11 Business (Build 26200),14,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.449.0,1.445.449.0,10-03-2026 02:39:02 AM,PASS,enabled,online,1.0.41,LENOVO,21SG,PG05BC7Q,Intel(R) Core(TM) 5 210H,Laptop,23,KB5077241,06 March 2026 12:00:00 AM,15.55,5890.05,1,AzureAD\SakshiPatil,AzureAD\SakshiPatil,Wi-Fi,9C-65-EB-8D-2A-93,,,,,9C-65-EB-8D-2A-93,2026-03-10T14:16:44.123818,COMPLIANT,Good
Actin-CS-46,192.168.8.94,2026-03-24T11:53:11.009278,17,76.72,84.42,Microsoft Windows 11 Pro (Build 26200),18,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,24-03-2026 04:59:39,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENTB,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,238,KB5079473,11 March 2026 00:00:00,15.53,3395.55,2,AzureAD\ShwetaJadhav,AzureAD\ShwetaJadhav,Wi-Fi,10-91-D1-4F-0D-DF,,,,,10-91-D1-4F-0D-DF,2026-03-24T11:53:22.221760,COMPLIANT,Warning
Actin-CS-35,192.168.8.45,2026-03-24T11:56:49.627200,11,61.96,47.07,Microsoft Windows 11 Pro (Build 26200),18,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.728.0,1.445.728.0,3/24/2026 1:24:03 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENTY,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,47,KB5083532,"Wednesday, March 11, 2026 12:00:00 AM",15.53,6019.57,2,NT AUTHORITY\SYSTEM,AzureAD\AnaghaShirke,Wi-Fi,10-91-D1-51-C5-93,,,,,10-91-D1-51-C5-93,2026-03-24T11:57:12.579189,COMPLIANT,Warning
Actin-CS-101,10.57.213.111,2026-03-20T10:48:35.201775,,,47.79,Microsoft Windows 11 Pro (Build 26200),22,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,21SG,PG055BJ8,Intel(R) Core(TM) 5 210H,Desktop/Laptop,42,KB5079473,12 March 2026 00:00:00,15.55,8477.9,1,AzureAD\SalimShaikh,AzureAD\SalimShaikh,Wi-Fi,C8-6E-08-35-8D-6F,,,,,C8-6E-08-35-8D-6F,2026-03-20T10:48:43.159881,COMPLIANT,Good
Actin-CS-12,192.168.5.45,2026-03-24T11:57:10.543203,43,61.99,40.99,Microsoft Windows 11 Pro (Build 26100),13,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,24-03-2026 04:59:39,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP9G,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,18,KB5077869,23 March 2026 00:00:00,15.53,6205.22,2,AzureAD\PradipShinde,AzureAD\PradipShinde,Wi-Fi,C8-15-4E-D5-78-DE,,,,,C8-15-4E-D5-78-DE,2026-03-24T11:57:31.119392,COMPLIANT,Warning
Actin-22,172.16.92.41,2026-03-24T12:05:45.205398,31.05,64.66,85.96,Microsoft Windows 10 Enterprise (Build 19045),24,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,0.0.0.0,0.0.0.0,Unknown,PASS,enabled,online,1.0.41,HP,HP 250 G8 Notebook PC,CND1151VC1,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Laptop,47,KB5072653,18 November 2025 12:00:00 AM,7.75,2777.42,1,AzureAD\SakshiPatil,ACTIN-22\Admin,Wi-Fi,80-D2-1D-C3-7B-3F,,,,,80-D2-1D-C3-7B-3F,2026-03-24T12:05:58.677037,COMPLIANT,Warning
Actin-011,192.168.5.65,2026-03-24T12:12:48.668963,11,80.78,99.96,Microsoft Windows 11 Business (Build 22631),17,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,24-03-2026 04:59:39,PASS,enabled,online,1.0.77,LENOVO,20VD,PG03KTB2,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Desktop/Laptop,58,KB5068865,15 January 2026 00:00:00,7.79,1507.4,1,NT AUTHORITY\SYSTEM,AzureAD\SagarNair,Wi-Fi,F4-CE-23-C2-92-2D,vEthernet (External),F4-CE-23-C2-92-2D,Network Bridge,F4-CE-23-C2-92-2D,F4-CE-23-C2-92-2D,2026-03-24T12:12:59.368686,COMPLIANT,Critical
Actin-CS-110,192.168.8.29,2026-03-24T12:17:55.650918,0,38.78,25.62,Microsoft Windows 11 Pro (Build 26200),13,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.41,LENOVO,21SG,PG05BC4M,Intel(R) Core(TM) 5 210H,Laptop,51,KB5083532,"Thursday, March 12, 2026 12:00:00 AM",15.55,9830.04,1,AzureAD\AkshayPhadke,AzureAD\AkshayPhadke,Wi-Fi,9C-65-EB-88-5D-6F,,,,,9C-65-EB-88-5D-6F,2026-03-24T12:18:50.401986,COMPLIANT,Good
Actin-CS-01,192.168.8.195,2026-03-20T10:52:10.385250,,,55.17,Microsoft Windows 11 Pro (Build 26200),20,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.601.0,1.445.601.0,18-03-2026 08:51:47,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP6K,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,29,KB5079473,11 March 2026 00:00:00,15.53,6974.52,2,AzureAD\KaustubhSathe,AzureAD\KaustubhSathe,Wi-Fi,4C-49-6C-35-40-30,,,,,4C-49-6C-35-40-30,2026-03-20T10:52:25.081314,COMPLIANT,Good
Actin-016,192.168.5.80,2026-03-23T09:58:45.632756,,,39.08,Microsoft Windows 10 Enterprise (Build 19045),15,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.701.0,1.445.701.0,3/22/2026 2:36:37 PM,PASS,enabled,online,1.0.77,LENOVO,21E4S3BX00,PG03TMZV,12th Gen Intel(R) Core(TM) i5-1245U,Desktop/Laptop,22,KB5072653,"Friday, November 28, 2025 12:00:00 AM",15.69,10580.78,2,AzureAD\PavanBendarkar,AzureAD\PavanBendarkar,Wi-Fi,70-D8-23-D4-42-11,,,,,70-D8-23-D4-42-11,2026-03-23T09:58:53.301550,COMPLIANT,Good
Actin-CS-84,192.168.8.61,2026-03-23T10:31:14.985074,,,91.8,Microsoft Windows 11 Pro (Build 26200),22,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,3/23/2026 3:32:32 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04TE5T,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,39,KB5079473,"Wednesday, March 11, 2026 12:00:00 AM",15.53,5541.56,2,AzureAD\DnyaneshwarKhokale,AzureAD\DnyaneshwarKhokale,Wi-Fi 2,5C-B4-7E-3B-0A-6F,Ethernet 5,0A-00-27-00-00-10,,,5C-B4-7E-3B-0A-6F,2026-03-23T10:31:25.653303,COMPLIANT,Good
Actin-CS-98,192.168.8.20,2026-03-23T10:02:08.841628,,,38.6,Microsoft Windows 11 Pro (Build 26200),12,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,3/23/2026 3:32:32 AM,PASS,enabled,online,1.0.77,LENOVO,21SG,PG055BJ3,Intel(R) Core(TM) 5 210H,Desktop/Laptop,37,KB5079473,"Wednesday, March 11, 2026 12:00:00 AM",15.55,8631.29,1,AzureAD\KiranTandale,AzureAD\KiranTandale,Wi-Fi,C8-6E-08-35-8D-74,,,,,C8-6E-08-35-8D-74,2026-03-23T10:02:23.238648,COMPLIANT,Good
Actin-CS-11,192.168.0.101,2026-03-24T12:02:37.675494,12,60.62,44.77,Microsoft Windows 11 Pro (Build 26200),14,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.728.0,1.445.728.0,3/24/2026 1:24:03 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP0C,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,50,KB5079473,"Wednesday, March 11, 2026 12:00:00 AM",15.53,6232.83,2,NT AUTHORITY\SYSTEM,AzureAD\MandarJejurikar,Wi-Fi,B0-47-E9-20-B8-FE,,,,,B0-47-E9-20-B8-FE,2026-03-24T12:02:47.669567,COMPLIANT,Warning
Actin-CS-36,192.168.8.78,2026-03-24T12:05:35.317108,21,50.66,92.28,Microsoft Windows 11 Pro (Build 26200),36,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENXD,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,149,KB5079473,"Friday, March 20, 2026 12:00:00 AM",15.53,7798.04,2,NT AUTHORITY\SYSTEM,AzureAD\OnkarMadre,Wi-Fi,4C-49-6C-32-51-1D,,,,,4C-49-6C-32-51-1D,2026-03-24T12:05:48.611548,COMPLIANT,Warning
KTLKL-073,192.168.20.111,2026-03-24T12:19:02.008508,14,82.95,71.02,Microsoft Windows 10 Enterprise (Build 19045),24,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.78,HP,HP 250 G8 Notebook PC,CND1151VDX,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Desktop/Laptop,126,KB5072653,"Tuesday, November 18, 2025 12:00:00 AM",15.76,2724.33,2,NT AUTHORITY\SYSTEM,KTLKOTHRUD\narayan.vaze,Wi-Fi,80-D2-1D-C3-7B-3D,,,,,80-D2-1D-C3-7B-3D,2026-03-24T12:19:08.767033,COMPLIANT,Critical
Actin-010,172.24.208.1,2026-03-17T16:07:14.134955,,,35.58,Microsoft Windows 11 Pro (Build 26200),14,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.580.0,1.445.580.0,17-03-2026 03:07:44,PASS,enabled,online,1.0.41,LENOVO,20VD,PG03JDSK,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Laptop,35,KB5083532,11 March 2026 00:00:00,7.79,2199.46,1,AzureAD\ShivrajSawant,AzureAD\ShivrajSawant,Wi-Fi,04-CF-4B-9C-3D-21,vEthernet (Default Switch),00-15-5D-D0-F4-5B,,,04-CF-4B-9C-3D-21,2026-03-17T16:07:39.228938,COMPLIANT,Good
Actin-006,192.168.8.123,2026-03-24T12:06:08.641164,76,92.88,87.28,Microsoft Windows 11 Pro (Build 26200),17,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.711.0,1.445.711.0,23-03-2026 05:13:20,PASS,enabled,online,1.0.77,LENOVO,20VD,PG03DR75,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Desktop/Laptop,36,KB5079473,11 March 2026 00:00:00,7.79,510.8,1,NT AUTHORITY\SYSTEM,AzureAD\PallaviMurkute,Ethernet 3,0A-00-27-00-00-14,Wi-Fi,38-7A-0E-56-80-D8,,,0A-00-27-00-00-14,2026-03-24T12:06:29.961582,COMPLIANT,Critical
Actin-CS-83,192.168.8.98,2026-03-20T10:54:10.334965,,,38.15,Microsoft Windows 11 Pro (Build 26200),18,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,1.445.661.0,1.445.661.0,20-03-2026 05:15:50,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04TE4C,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,65,KB5079473,12 March 2026 00:00:00,15.53,7537.99,2,AzureAD\AmeyVanave,AzureAD\AmeyVanave,Wi-Fi,5C-B4-7E-3C-35-25,OpenVPN TAP-Windows6,00-FF-99-CF-B7-78,,,5C-B4-7E-3C-35-25,2026-03-20T10:54:21.746145,COMPLIANT,Good
Actin-CS-57,192.168.8.160,2026-03-23T10:01:45.542400,,,32.92,Microsoft Windows 11 Pro (Build 26200),13,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.663.0,1.445.663.0,20-03-2026 08:18:17,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENTG,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,18,KB5079473,11 March 2026 00:00:00,15.53,4754.72,2,AzureAD\AkankshaBansal,AzureAD\AkankshaBansal,Wi-Fi,10-91-D1-4F-02-36,,,,,10-91-D1-4F-02-36,2026-03-23T10:02:02.262720,COMPLIANT,Good
Actin-CS-40,192.168.1.9,2026-03-20T10:50:44.448247,,,47.12,Microsoft Windows 11 Pro (Build 26200),18,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04K3PW,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,34,KB5079473,15 March 2026 00:00:00,15.53,8745.23,2,AzureAD\KunalBadgujar,AzureAD\KunalBadgujar,Wi-Fi,DC-97-BA-1E-05-69,,,,,DC-97-BA-1E-05-69,2026-03-20T10:50:54.306900,COMPLIANT,Good
Actin-CS-88,172.16.10.51,2026-03-11T11:49:34.122731,,,48.22,Microsoft Windows 11 Pro (Build 26200),17,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.469.0,1.445.469.0,11-03-2026 04:31:08,PASS,enabled,online,1.0.41,LENOVO,21KG,PG04TE5G,13th Gen Intel(R) Core(TM) i5-1335U,Laptop,156,KB5083532,11 March 2026 00:00:00,15.53,3345.43,2,ACTIN-CS-88\Admin,ACTIN-CS-88\Admin,Wi-Fi,5C-B4-7E-3C-FF-87,,,,,5C-B4-7E-3C-FF-87,2026-03-11T11:49:49.698858,COMPLIANT,Good
Actin-CS-89,192.168.87.60,2026-03-20T10:48:36.338769,,,88.08,Microsoft Windows 11 Pro (Build 26100),18,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04TE6Q,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,30,KB5077181,08 March 2026 00:00:00,15.53,1188.61,2,AzureAD\RajwardhanPawar,AzureAD\RajwardhanPawar,Wi-Fi,5C-B4-7E-3A-BE-B6,Ethernet 3,0A-00-27-00-00-0C,,,5C-B4-7E-3A-BE-B6,2026-03-20T10:49:07.736595,COMPLIANT,Good
Actin-022,192.168.5.28,2026-03-24T11:57:45.270889,8,85.23,73.48,Microsoft Windows 11 Enterprise (Build 26200),17,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,1.445.711.0,1.445.711.0,3/23/2026 5:13:20 AM,PASS,enabled,online,1.0.77,LENOVO,20RAS0D800,PG028K9C,Intel(R) Core(TM) i3-10110U CPU @ 2.10GHz,Desktop/Laptop,280,KB5085516,"Monday, March 23, 2026 12:00:00 AM",7.81,1075.37,1,NT AUTHORITY\SYSTEM,ACTIN-022\admin,Wi-Fi,38-68-93-F0-FC-3A,,,,,38-68-93-F0-FC-3A,2026-03-24T11:57:56.028052,COMPLIANT,Critical
Actin-015,192.168.1.40,2026-03-23T10:05:12.572290,,,50.57,Microsoft Windows 10 Enterprise (Build 19045),16,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,3/23/2026 3:32:32 AM,PASS,enabled,online,1.0.77,Dell Inc.,Latitude 5490,BBDSST2,Intel(R) Core(TM) i3-8130U CPU @ 2.20GHz,Desktop/Laptop,30,KB5072653,"Monday, February 23, 2026 12:00:00 AM",7.86,2282.52,2,ACTIN-015\Admin,ACTIN-015\Admin,Wi-Fi,20-79-18-7D-77-92,,,,,20-79-18-7D-77-92,2026-03-23T10:05:29.178095,COMPLIANT,Good
Actin-CS-28,192.168.5.24,2026-03-24T11:51:22.746314,45,80.04,75.45,Microsoft Windows 11 Pro (Build 26100),15,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.728.0,1.445.728.0,3/24/2026 1:24:03 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP01,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,43,KB5068861,"Wednesday, November 12, 2025 12:00:00 AM",15.53,3011.02,2,NT AUTHORITY\SYSTEM,AzureAD\PradumnKadam,Wi-Fi,B0-47-E9-5D-01-4C,,,,,B0-47-E9-5D-01-4C,2026-03-24T11:51:37.388166,COMPLIANT,Critical
Actin-CS-68,192.168.8.60,2026-03-23T10:06:11.823853,,,88.3,Microsoft Windows 11 Pro (Build 26200),43,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04SH40,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,194,KB5079473,11 March 2026 12:00:00 AM,15.53,5250.7,2,AzureAD\PoojaYeole,AzureAD\PoojaYeole,WiFi,DC-97-BA-22-1A-1E,,,,,DC-97-BA-22-1A-1E,2026-03-23T10:04:30.991638,COMPLIANT,Good
Actin-CS-52,192.168.5.90,2026-03-24T12:10:52.166436,21,82.2,85.41,Microsoft Windows 11 Pro (Build 26200),24,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.722.0,1.445.722.0,23-03-2026 16:39:09,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENTQ,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,164,KB5085516,23 March 2026 00:00:00,15.53,2988.36,2,NT AUTHORITY\SYSTEM,AzureAD\godrejiotsupport,Wi-Fi,10-91-D1-51-D0-3D,Ethernet 2,0A-00-27-00-00-0D,,,10-91-D1-51-D0-3D,2026-03-24T12:11:04.969103,COMPLIANT,Critical
Actin-CS-67,192.168.5.87,2026-03-23T10:37:41.565106,,,92.3,Microsoft Windows 11 Business (Build 26200),49,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.678.0,1.445.678.0,21-03-2026 06:43:52,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04SH3D,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,225,KB5079473,11 March 2026 00:00:00,15.53,575.29,2,AzureAD\SupriyaWaghamale,AzureAD\SupriyaWaghamale,WiFi,DC-97-BA-20-EF-F9,,,,,DC-97-BA-20-EF-F9,2026-03-23T10:38:06.961437,COMPLIANT,Good
Actin-CS-06,192.168.8.53,2026-03-20T10:57:25.286282,,,91.48,Microsoft Windows 11 Pro (Build 26200),46,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,3/20/2026 2:31:27 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENZ4,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,280,KB5079473,"Monday, March 16, 2026 12:00:00 AM",15.53,1764.96,2,AzureAD\SameerKandhare,AzureAD\SameerKandhare,Ethernet 2,54-ED-87-88-32-01,Wi-Fi,B0-47-E9-21-C7-C1,,,54-ED-87-88-32-01,2026-03-20T10:55:53.088607,COMPLIANT,Good
Actin-CS-38,192.168.8.79,2026-03-24T11:51:10.933663,13,66.67,89.06,Microsoft Windows 11 Business (Build 26200),72,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04K3HK,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,447,KB5085516,"Monday, March 23, 2026 12:00:00 AM",15.53,5353.85,2,AzureAD\SwapnilKale,AzureAD\SwapnilKale,VMware Network Adapter VMnet1,00-50-56-C0-00-01,VMware Network Adapter VMnet8,00-50-56-C0-00-08,Wi-Fi,DC-97-BA-1E-99-48,00-50-56-C0-00-01,2026-03-24T11:51:22.335709,COMPLIANT,Warning
Actin-25,192.168.8.43,2026-03-20T10:51:52.978472,,,88.94,Microsoft Windows 10 Enterprise (Build 19045),60,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,3/20/2026 2:31:27,PASS,enabled,online,1.0.77,LENOVO,21E4S3BX00,PG03TMWQ,12th Gen Intel(R) Core(TM) i5-1245U,Desktop/Laptop,360,KB5072653,"Friday, November 21, 2025 0:00:00",15.69,1623.43,2,ACTIN-25\Admin,ACTIN-25\Admin,Wi-Fi,70-D8-23-B1-E8-01,Ethernet 2,54-67-6A-E1-60-0C,,,70-D8-23-B1-E8-01,2026-03-20T10:52:04.172492,COMPLIANT,Good
AI-socsrv,192.168.16.14,2026-03-24T11:53:20.729795,16,79.05,49.53,Microsoft Windows Server 2025 Datacenter (Build 26100),23,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,1.445.728.0,1.445.728.0,3/24/2026 1:24:03 AM,PASS,enabled,online,1.0.77,Microsoft Corporation,Virtual Machine,0000-0007-7125-9327-6490-0403-64,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,Desktop/Laptop,120,KB5078739,"Wednesday, March 11, 2026 12:00:00 AM",7.99,1687.12,2,NT AUTHORITY\SYSTEM,None (Service Mode),Ethernet,60-45-BD-73-2D-B6,Ethernet 2,60-45-BD-73-2D-B6,,,60-45-BD-73-2D-B6,2026-03-24T11:53:31.883680,COMPLIANT,Warning
KTLKL-026,192.168.20.52,2026-03-24T12:18:12.823180,21,89.35,54.44,Microsoft Windows 10 Enterprise (Build 19045),20,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.78,HP,HP 250 G8 Notebook PC,CND1151VBS,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Desktop/Laptop,84,KB5072653,"Tuesday, November 18, 2025 12:00:00 AM",7.75,843.48,1,NT AUTHORITY\SYSTEM,AzureAD\HelpdeskKothrud,Wi-Fi,80-D2-1D-C3-78-91,,,,,80-D2-1D-C3-78-91,2026-03-24T12:18:21.616426,COMPLIANT,Critical
